                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.77154,                 1.1634,                 1.0005,                0.89539,                0.87441,                0.90584,                0.66514,                0.65626,                0.70001,                0.91358,              0.0033298,              0.0033298,              0.0033298
                      2,                0.74311,                0.70111,                0.97991,                0.89533,                0.89174,                0.93228,                0.68385,                0.66243,                0.59039,                0.92057,              0.0065532,              0.0065532,              0.0065532
                      3,                0.77717,                0.65427,                0.99706,                0.85684,                0.88531,                 0.9186,                0.66822,                0.72089,                0.61578,                0.95721,              0.0096666,              0.0096666,              0.0096666
                      4,                0.78387,                0.60755,                 1.0026,                0.89169,                0.89132,                0.93715,                0.69244,                0.68497,                0.52645,                0.93711,               0.009505,               0.009505,               0.009505
                      5,                0.75548,                0.56451,                0.99457,                0.89584,                  0.904,                0.94073,                0.70089,                0.66229,                0.49322,                0.93262,               0.009505,               0.009505,               0.009505
                      6,                0.73239,                0.53655,                0.98614,                 0.8964,                0.90091,                0.94865,                0.71128,                0.64474,                0.46485,                0.91884,                0.00934,                0.00934,                0.00934
                      7,                0.71608,                0.51519,                0.97821,                0.89355,                0.91166,                0.95185,                0.71405,                0.63678,                0.45527,                0.91674,               0.009175,               0.009175,               0.009175
                      8,                0.70129,                 0.4979,                0.96956,                0.90144,                0.90091,                0.95267,                 0.7218,                0.63381,                0.45016,                0.91215,                0.00901,                0.00901,                0.00901
                      9,                0.69333,                0.48972,                0.97041,                0.90742,                0.91268,                0.95605,                0.72993,                0.61844,                0.42741,                0.90716,               0.008845,               0.008845,               0.008845
                     10,                0.68218,                   0.48,                0.96324,                0.90819,                0.91365,                0.95699,                0.73218,                0.60785,                0.42081,                0.90256,                0.00868,                0.00868,                0.00868
                     11,                0.67611,                0.47138,                0.96134,                0.91414,                0.91098,                0.95502,                0.73317,                0.59621,                 0.4108,                0.89837,               0.008515,               0.008515,               0.008515
                     12,                0.66568,                0.46295,                0.95692,                0.90299,                0.90843,                0.95343,                0.73477,                0.59235,                0.40882,                0.89566,                0.00835,                0.00835,                0.00835
                     13,                0.66262,                0.45643,                0.95415,                0.90781,                 0.9221,                0.96116,                0.73932,                 0.5896,                0.39669,                0.89498,               0.008185,               0.008185,               0.008185
                     14,                0.65453,                0.45016,                0.95163,                0.91885,                0.91402,                0.95966,                0.74099,                0.58198,                0.39355,                0.89165,                0.00802,                0.00802,                0.00802
                     15,                0.64958,                0.44512,                0.95077,                0.91317,                0.91168,                0.96135,                0.74455,                0.57757,                0.38815,                0.88879,               0.007855,               0.007855,               0.007855
                     16,                0.64739,                0.44073,                0.94671,                0.92132,                0.91925,                0.96412,                0.74791,                0.57129,                0.38069,                0.88637,                0.00769,                0.00769,                0.00769
                     17,                0.64144,                  0.438,                0.94739,                0.91139,                0.91557,                0.96459,                0.74959,                0.56951,                0.37753,                0.88337,               0.007525,               0.007525,               0.007525
                     18,                0.63624,                0.43143,                0.94377,                0.92269,                0.91642,                0.96241,                0.75034,                0.56418,                0.37174,                0.88489,                0.00736,                0.00736,                0.00736
                     19,                0.63575,                0.43219,                0.94277,                0.91796,                0.92362,                0.96383,                0.75237,                0.56082,                0.37196,                0.88107,               0.007195,               0.007195,               0.007195
                     20,                 0.6301,                0.42593,                0.94193,                0.92127,                0.92841,                0.96732,                0.75909,                0.55422,                0.36132,                0.87872,                0.00703,                0.00703,                0.00703
                     21,                0.62651,                0.42208,                0.93967,                0.91698,                0.92832,                0.96809,                0.75673,                0.55101,                0.35901,                0.87688,               0.006865,               0.006865,               0.006865
                     22,                0.62407,                0.41876,                0.93839,                0.92427,                0.92208,                0.96823,                0.75929,                0.54739,                0.35539,                0.87662,                 0.0067,                 0.0067,                 0.0067
