                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.77157,                0.93457,                 1.0021,                0.94964,                0.92548,                0.96288,                0.68757,                0.70888,                0.56363,                0.93888,             0.00036994,             0.00036994,             0.00036994
                      2,                0.74128,                0.57089,                0.99001,                0.95415,                 0.9244,                0.96438,                0.69849,                0.71573,                0.52906,                0.94831,             0.00072195,             0.00072195,             0.00072195
                      3,                0.73583,                0.52702,                0.98911,                0.94964,                0.92941,                0.96628,                0.70689,                0.68215,                0.48531,                0.93778,              0.0010556,              0.0010556,              0.0010556
                      4,                0.71766,                0.49719,                0.97999,                0.95616,                0.93503,                0.97124,                0.72285,                0.64918,                0.44463,                0.92181,              0.0010285,              0.0010285,              0.0010285
                      5,                0.70355,                 0.4802,                0.97548,                0.95592,                0.93906,                0.97347,                0.72812,                0.63852,                 0.4212,                0.91598,              0.0010285,              0.0010285,              0.0010285
                      6,                0.68888,                0.46348,                0.96818,                0.95814,                0.94127,                0.97438,                0.73234,                0.63326,                0.41348,                0.91111,               0.001001,               0.001001,               0.001001
                      7,                0.67504,                0.45064,                0.96357,                0.95515,                  0.948,                0.97683,                0.73834,                0.61484,                0.39333,                0.90353,             0.00097351,             0.00097351,             0.00097351
                      8,                0.66735,                0.44047,                  0.959,                0.95708,                0.94781,                0.97791,                0.73491,                0.61387,                0.39689,                0.90161,             0.00094602,             0.00094602,             0.00094602
                      9,                0.65935,                0.43173,                0.95707,                0.95955,                0.94805,                 0.9783,                0.74391,                0.59798,                0.37964,                0.89543,             0.00091852,             0.00091852,             0.00091852
                     10,                0.65328,                0.42636,                0.95241,                0.95665,                0.94877,                0.97868,                0.74527,                0.59603,                0.37571,                0.89454,             0.00089102,             0.00089102,             0.00089102
                     11,                0.64735,                0.41966,                0.95044,                0.95856,                0.94977,                0.97896,                0.74454,                0.59253,                0.37269,                0.89374,             0.00086352,             0.00086352,             0.00086352
                     12,                0.64007,                0.41427,                0.94674,                0.96087,                 0.9479,                0.97887,                0.75028,                0.58391,                0.36376,                0.89008,             0.00083603,             0.00083603,             0.00083603
                     13,                 0.6347,                0.40856,                0.94474,                0.96461,                0.94457,                0.97968,                0.75041,                0.57306,                0.36135,                0.88525,             0.00080853,             0.00080853,             0.00080853
                     14,                0.62591,                0.40227,                0.94182,                0.95801,                0.95398,                0.98032,                0.75064,                  0.568,                0.34935,                0.88495,             0.00078103,             0.00078103,             0.00078103
                     15,                0.62529,                0.39842,                0.94231,                0.95523,                0.95287,                0.98027,                0.75184,                0.56898,                0.35926,                0.88392,             0.00075354,             0.00075354,             0.00075354
                     16,                0.62158,                0.39484,                0.93973,                0.95869,                0.95289,                0.98069,                0.75177,                 0.5697,                 0.3478,                 0.8826,             0.00072604,             0.00072604,             0.00072604
                     17,                0.61542,                  0.391,                0.93767,                0.96287,                0.95282,                0.98142,                0.75448,                0.55856,                0.34304,                0.87965,             0.00069854,             0.00069854,             0.00069854
                     18,                0.61153,                0.38606,                 0.9355,                0.96171,                0.95387,                0.98187,                0.75542,                0.55424,                 0.3387,                0.87865,             0.00067104,             0.00067104,             0.00067104
                     19,                0.60616,                 0.3805,                0.93163,                0.96034,                0.95636,                0.98203,                0.76124,                 0.5483,                 0.3303,                0.87481,             0.00064355,             0.00064355,             0.00064355
                     20,                0.60606,                0.37992,                0.93373,                0.96395,                0.95451,                0.98258,                0.76382,                0.54322,                0.32761,                 0.8731,             0.00061605,             0.00061605,             0.00061605
                     21,                 0.5999,                0.37503,                 0.9309,                0.96238,                0.95819,                 0.9826,                0.76162,                0.54293,                0.32707,                0.87233,             0.00058855,             0.00058855,             0.00058855
